Index, Name, Class/Type
216, Wall Grenade, Grenade
217, Browning M2, NormalAmmoGun
218, M1918-BAR, NormalAmmoGun
219, M8, NormalAmmoGun
220, MG-42, NormalAmmoGun,
221, Spell: Blinding Light, SpellBook
222, Spell: Gravity Field, SpellBook
223, Spell: Gust, SpellBook
224, Spell: Healing aura, SpellBook
225, Spell: Speed aura, SpellBook
226, Spell: Summon rock, SpellBook
227, Spell: Teleport, SpellBook
228, Spell: Track, SpellBook
229, Spell: Fireball, SpellBook
230, Spell: Ice bold, SpellBook
231, Spell: Magical missile, SpellBook
232, Spell: Mirage, SpellBook
233, Spell: Orb of sight, SpellBook
234, Spell: Reveal, SpellBook
235, Spell: Shockwave, SpellBook
236, Spell: Summom tree, SpellBook
237, Spell: Track, SpellBook (Weird Cover)
238, Ballistic Shield, Melee
239, Ballistic Shields, Melee
240, Taser Ballistic Shield, Melee
241, Baton, Melee
242, Black Katana, Melee
243, Boxing Glove, Melee
244, Cleaver, Melee
245, Crowbar, Melee
246, Crusader Sword, Melee
247, Taser Crusader Sword, Melee
248, Fish, Melee
249, Taser Fish, Melee
250, Holy Sword, Melee
251, Inflatable Hammer, Melee

252, Jarl Axe, Melee
253, Taser Jarl Axe, Melee
254, Katana, Melee
255, Knife, Melee
256, Rapier, Melee
257, Riot Shield, Melee
258, Sabre, Melee
259, Shallow Pot With Long Handel, Melee
260, Shield, Melee
261, Shovel, Melee
262, Viking Axe, Melee
263, Weights, Melee
264, Beretta 93R, SmallAmmoGun
265, Crossbow pistol, BoltsAmmoGun
266, Desert Eagle, NormalAmmoGun
267, Flintlock, MusketAmmoGun
268, Taser Flintlock, TaserAmmoGun
269, Auto Revolver, NormalAmmoGun

270, Wind up pistol, SmallAmmoGun
271, G18c, SmallAmmoGun
272, Glue Gun, SmallAmmoGun
273, Hand Gun, SmallAmmoGun
274, HandCannon, MusketAmmoGun
275, Liberating m1911, SmallAmmoGun
276, Luger-P08, SmallAmmoGun
277, m1911, SmallAmmoGun
278, Real Gun, NormalAmmoGun
279, Really Big Deagle, NormalAmmoGun
280, Revolver, NormalAmmoGun
281, Holy Revolver, NormalAmmoGun
282, Revolver, NormalAmmoGun
283, Hardballer, SmallAmmoGun
284, Taser, TaserAmmoGun
285, Beam-DMR, SmallAmmoGun
286, FAL, NormalAmmoGun
287, Garand, BigAmmoGun

288, Liverating Garand, BigAmmoGun
289, M14, NormalAmmoGun
290, S7, NormalAmmoGun
291, Winchester-Model1886, BigAmmoGun
292, AA-12, ShotgunAmmoGun
293, Blunderbuss, MusketAmmoGun
294, Sawed-off Shotgun, ShotgunAmmoGun
295, FlyingBlunderbuss, MusketAmmoGun
296, Liberating AA-12, ShotgunAmmoGun
297, Mossberg-500, ShotgunAmmoGun
298, Mossberg-5000, ShotgunAmmoGun
299, Taser Mossberg-500, TaserAmmoGun
300, Rainmaker, ShotgunAmmoGun
301, The Arnold, ShotGunAmmoGun
302, AKS-74U, SmallAmmoGun
303, AWPS-74U, BigAmmoGun
304, Money maker mac, SmallAmmoGun
305, Glockinator, SmallAmmoGun

306, Liberating M1a1-Thompson, SmallAmmoGun
307, M1a1-Thompson, SmallAmmoGun
308, Mac-10, SmallAmmoGun
309, MP-40, SmallAmmoGun
310, MP5-K, SmallAmmoGun
311, P90, SmallAmmoGun
312, PPSH-41, SmallAmmoGun
313, Tec-9, SmallAmmoGun
314, UMP-45, SmallAmmoGun
315, Vector, SmallAmmoGun
316, Z4, SmallAmmoGun
317, AWP, BigAmmoGun
318, Taser AWP, TaserAmmoGun
319, Barrett, BigAmmoGun
320, Beam-Sniper, SmallAmmoGun
321, Kar98K, BigAmmoGun
322, Liberating Barrett, BigAmmoGun
323, Musket, MusketAmmoGun

324, Taser Musket, TaserAmmoGun
325, Really Big Barret, BigAmmoGun
326, Sniper Shotgun..?, ShotgunAmmoGun
327, Double Shot, BigAmmoGun
328, VSS, SmallAmmoGun
