X,Y,Z
-658.1086,117.45,401.7726
-640.9687,117.8,375.5526
300.6061,153.8971,392.9429
359.0364,125.9672,-179.3315
172.0033,134.3484,-367.367
147.1515,135.5647,-395.8822
-353.3619,127.1943,93.51135
222.6533,138.5312,-543.4258
-156.9952,121.7952,504.9901
135.7058,131.3295,-337.0112
224.0146,139.3317,-523.6589
166.8531,135.0892,-385.2522
-261.1191,130.9254,-83.98468
-306.0298,128.9279,76.03406
111.7067,130.8597,-351.6759
566.8346,118.62,-500.9471
-353.8339,127.4619,575.1184
445.1499,131.5369,-189.5962
131.3306,130.2704,414.9286
-331.2308,125.8227,85.95667
339.1234,123.1382,-94.86823
-249.4426,131.1853,-103.8245
415.5978,117.7726,-689.8307
152.2268,138.7336,386.7207
-345.4908,123.7908,555.3279
-711.6794,113.0194,99.39453
307.0593,141.0404,128.0016
-169.5019,124.6671,506.8549
110.737,131.4172,-370.6271
-358.3452,124.1944,560.0602
203.4268,116.5872,84.09656
-166.7594,124.3305,525.652
132.0665,128.2876,441.3275
447.9139,128.1866,-162.9628
-762.0184,115.5781,132.2108
-763.8906,116.142,140.5388
-126.696,136.8784,-724.4241
225.7644,135.6929,-560.798
-732.6901,114.4455,140.262
580.7241,116.4477,-507.635
123.587,133.2771,387.3722
-382.0223,121.2377,363.3551
143.6149,131.3666,421.7192
-136.374,124.5517,524.7679
655.5992,118.04,585.9426
688.0462,130.275,567.5002
476.5816,157.8612,26.41747
-572.0574,121.1519,362.4321
119.4399,138.0114,-387.6005
-500.1692,165.8605,-486.1062
-415.0627,165.9519,-529.0584
-453.2837,165.3152,-487.2699
-473.3516,165.836,-490.5828
-456.1386,163.7301,-453.9979
-534.2928,120.925,273.872
581.6581,119.5825,630.7533
-532.8412,120.9746,273.6227
411.8667,126.0541,-693.6472
-252.3288,139.5519,-108.1534
-339.7677,131.694,553.9662
149.0847,146.3705,392.0944
309.0908,149.2633,122.969
-715.6483,121.1715,95.53955
107.9863,140.0282,-374.5454
-169.1161,132.6004,501.0254
-362.6914,132.5311,563.006
453.1257,136.1254,-160.3395
136.0724,137.2817,441.6868
-161.5393,132.3501,523.3055
200.0017,124.8681,88.19092
-130.4238,145.8273,-726.1819
229.4279,144.796,-559.9138
-761.2158,124.4727,136.3715
-770.0923,123.7603,141.2931
122.5984,140.4689,394.0333
-138.8561,132.5223,519.5355
147.7,139.9642,424.2615
-377.4587,129.5447,366.0452
577.7244,125.2671,-504.4276
-734.8779,122.9104,135.7201
305.8438,162.2141,392.2625
175.8414,142.4863,-363.3531
144.0983,144.3653,-399.0909
358.9583,134.8129,-174.9937
224.7325,147.5437,-540.0315
-347.7606,134.95,95.86572
131.137,139.1451,-333.1238
-153.5163,129.4915,499.9172
-258.7914,139.1176,-79.03101
-311.7334,136.3108,79.20129
228.2859,148.0177,-521.8208
166.5048,143.3794,-390.5645
106.3858,139.1505,-351.8148
567.1855,126.588,-506.7313
-352.5718,135.0535,568.9667
-326.5427,133.9992,88.82642
125.2864,138.0247,414.2903
442.4792,139.8931,-185.1117
344.7355,131.2358,-94.91284
478.501,157.5609,24.31636
38.70001,117.56,7.100029
-486.6126,167.7273,-566.5023
-485.3402,168.121,-559.8113
-483.9862,165.5258,-433.4326
-571.3007,127.4453,359.7051
-93.63933,131.1018,231.8141
282.5046,139.5922,-481.0859
86.70511,116.471,-8.84004
-101.3518,113.0561,-370.3657
-24.15118,125.1869,-652.4415
-81.67535,137.5295,201.8227
-149.9705,153.4773,213.0124
7.436005,119.111,-24.48495
119.5139,116.461,-56.43427
-216.7847,213.1355,130.3098
-72.50291,165.2664,152.4819
-149.8819,118.5042,211.3859
-96.72647,132.123,199.0303
-153.3107,115.1866,198.2663
99.49664,116.4403,-32.145
63.28664,116.561,-29.87403
-347.3937,127.38,631.1898
57.26601,119.061,-13.78498
-213.9798,208.8534,133.7342
103.135,116.471,-85.36414
-156.3893,141.2168,217.2901
49.9859,116.471,-42.22497
-157.7763,153.1274,208.2769
-272.8015,128.573,-80.71057
-103.8964,139.8117,174.0513
-118.1367,161.9937,130.4533
-217.2144,116.9736,131.3124
386.0859,128.2218,20.9541
199.9523,128.3683,502.2299
-70.53469,159.3599,120.3427
-200.3596,143.1975,209.8064
-96.37591,130.165,192.0247
-72.08345,134.0826,153.1647
94.61093,117.5041,-32.14501
-378.9589,129.0449,631.3871
-465.6694,114.1028,-104.3364
-213.9718,112.1694,133.6568
-31.64923,137.9543,186.6028
-724.6642,115.3145,402.1218
-221.9466,136.7261,190.0832
102.9967,116.4402,-32.145
-127.3687,157.753,174.0932
-143.6555,156.7132,187.2356
7.583351,116.4244,-70.26495
143.795,116.521,-91.94403
-147.1927,111.9336,184.5966
-155.6067,133.5882,191.4695
-89.25117,130.6855,165.0408
-142.2887,134.3996,179.4174
-196.1304,111.6726,-11.44958
-21.03761,118.195,617.4578
-40.27161,122.6881,-432.3019
-129.7018,130.1903,182.1226
65.93169,116.432,3.740353
-127.8674,115.8955,177.8951
191.8253,119.451,-48.73672
-199.0323,208.7805,109.5912
-253.105,111.9902,159.7476
-143.4482,115.6394,186.944
-97.87688,129.6195,195.4152
-80.44408,171.9936,165.7622
-157.759,115.4147,208.3063
324.2694,110.0238,-784.6392
-567.0483,113.4859,169.5128
-123.1533,133.9811,156.651
-106.4096,164.9841,154.9378
35.16497,116.461,-82.23598
-80.29929,168.3259,202.1218
-126.7349,131.2106,178.5943
98.82503,120.254,-29.93103
158.675,122.371,-100.064
-106.4087,125.4637,168.4682
277.7437,124.6169,-623.8378
-147.0366,153.1158,184.5602
-103.7931,111.201,762.0215
180.5251,119.111,17.49597
-82.22231,131.6269,164.5914
-70.28892,134.3664,120.4113
-107.3233,119.2733,152.2757
-118.1741,113.0596,132.4789
-136.7072,116.8162,175.0559
-126.5857,112.7456,-357.2117
-136.9795,160.9407,175.5532
-78.18137,141.9395,174.2136
-159.4788,123.8071,347.9335
-146.7599,134.7572,190.5811
64.41502,119.111,17.49603
-98.26042,166.3892,195.4428
55.42501,116.471,-8.883974
-197.5341,115.0184,110.2415
92.85602,116.461,4.175014
-93.61958,164.5091,231.5942
-123.4311,129.5555,129.0364
-153.3148,153.7586,198.3396
72.73896,118.935,-57.81602
-222.0788,136.8916,194.2325
-110.1888,117.5646,74.89309
-110.9248,134.4766,171.7709
-87.75742,168.4702,163.7107
-27.23224,131.1461,335.8942
-78.52657,143.5949,114.432
-104.9612,160.1532,137.0109
-416.4965,125.1519,441.861
11.74479,116.471,-74.16484
268.6558,122.2316,-636.5684
-106.7293,167.0701,169.1118
-158.0786,135.672,204.5227
-76.13702,146.5262,147.1349
-206.0242,121.4792,442.8014
181.5712,116.4988,-71.97002
-97.14671,166.3899,192.5133
-125.8706,116.7878,174.8593
80.03099,117.524,-47.66502
-95.02184,129.3545,192.3381
-17.75342,122.8267,-668.2443
-110.3508,164.5329,75.06837
-19.18917,123.5919,626.2225
-110.717,130.7153,133.163
396.7683,126.316,-18.19141
192.9859,122.411,-122.7652
-173.8932,136.7934,205.3615
-85.6082,130.4893,234.5791
-128.5206,156.3207,177.0481
-104.7281,117.48,136.9877
-769.6891,115.5063,344.5717
74.98207,118.4047,-32.71173
-77.93102,127.4701,209.462
11.35071,127.6834,-337.5732
163.3008,137.9867,-338.5124
-494.6904,119.014,332.4424
690.84,130.551,567.8782
118.2097,138.437,-389.7874
355.7773,162.64,133.9579
703.0915,118.7895,538.0897
631.0524,125.2502,488.3882
600.1444,118.0459,614.8999
649.4328,118.04,611.7925
499.6992,126.6281,-379.2906
455.88,149.379,-291.494
502.6533,126.456,-378.5034
733.739,142.7883,-682.1693
734.2289,142.7883,-681.3093
505.2804,127.697,-376.099
748.5225,151.624,-688.1104
438.66,149.379,-317.464
449.8286,149.3824,-340.697
464.88,149.379,-294.184
439.91,149.379,-299.344
764.2424,120.5327,-721.2949
465.99,149.279,-294.524
762.3222,122.1256,-647.0175
734.4083,142.7883,-683.0263
764.2692,122.0727,-645.2017
762.7919,120.5327,-722.1566
438.74,149.379,-316.154
747.61,151.699,-688.774
507.13,127.9155,-380.1811
764.0347,120.5327,-722.3314
504.6275,125.8219,-380.6157
425.2417,149.3824,-319.9928
454.8375,149.3824,-319.7512
446.6749,149.3824,-339.9269
465.21,149.379,-295.764
448.34,149.379,-293.184
426.4026,149.3824,-322.9991
761.8022,120.5327,-721.3926
475.5143,127.776,-320.8363
765.4216,121.9742,-648.0352
426.5786,149.3824,-320.6091
443.4592,149.3824,-332.1968
446.93,149.379,-293.134
747.38,151.624,-687.564
-502.4758,122.1834,280.1546
-545.8262,116.97,367.1343
664.2402,118.03,578.6204
-423.1352,172.2135,-615.1245
-410.7096,172.1669,-602.2508
-491.0106,167.0992,-593.5349
-463.5101,165.0721,-463.9146
683.6932,117.89,598.141
161.6179,137.83,-340.415
744.8588,142.6653,-694.9893
477.8436,149.256,-324.3248
740.5795,152.976,-676.4251
504.7563,127.653,-378.0515
474.4192,129.085,-323.5656
760.5925,151.7169,-691.7673
472.0098,149.2594,-287.3151
472.027,149.2594,-335.976
456.0505,150.735,-278.0455
783.8082,124.364,-668.5957
786.4581,121.412,-669.2209
758.563,151.7169,-691.659
487.6644,127.656,-329.0173
486.0594,129.126,-331.1131
469.757,149.2594,-286.0226
783.8711,122.888,-668.8747
785.2982,122.892,-667.4208
483.3135,149.256,-324.0248
458.4514,149.2594,-278.572
784.2974,121.4124,-668.516
474.6531,127.653,-322.4057
456.0505,150.735,-278.0455
473.8761,149.2594,-334.0903
738.6248,142.6653,-696.5006
486.4969,127.653,-330.8646
474.5001,127.653,-324.2416
488.2469,129.126,-330.9146
455.9103,149.2594,-318.1534
456.2773,149.2594,-277.7196
785.5681,121.416,-667.7847
739.8728,151.501,-675.196
468.5492,149.256,-332.9434
488.384,127.653,-331.0627
739.2393,144.146,-696.4227
740.4626,151.501,-676.6133
456.2773,149.2594,-277.7196
-487.8253,119.068,334.5937
-17.04279,122.7939,-668.0067
-111.0885,164.2398,75.22971
-19.03086,123.5919,625.4894
-105.2847,117.1789,136.5851
75.72722,118.3264,-32.74527
-77.75117,128.1982,209.4725
12.08875,127.7522,-337.4586
-769.6235,115.4772,345.3181
193.7359,122.411,-122.7652
-173.9093,136.4905,204.6756
-111.4627,130.6678,133.0989
396.0453,126.3407,-17.99377
-128.2587,156.4274,176.2891
-86.27,130.7213,234.3132
12.48521,116.471,-74.04535
-415.7469,125.1358,441.8418
269.3634,122.2744,-636.3235
-107.0391,167.0718,169.8602
-87.78882,169.2736,163.6122
-110.7769,117.1225,75.0389
-110.8186,134.5117,172.5126
-105.6856,160.0023,136.6815
-78.60046,144.3412,114.4364
-26.51147,131.1434,336.1016
80.03099,116.774,-47.66503
-125.6109,116.9331,174.1709
-94.62533,129.3619,191.7015
-205.282,121.4551,442.6963
-76.30227,147.2578,147.1312
-157.9006,136.0365,205.1536
-96.84715,166.3847,191.7608
180.9712,116.4988,-71.97002
-97.95705,166.4425,194.6937
64.41502,119.111,18.24603
55.42501,116.471,-8.133974
-198.2344,115.287,110.2374
-136.9946,161.4834,174.9521
-159.3572,123.8948,347.1986
-146.4593,134.5226,189.9353
-78.23888,142.6325,174.4947
72.73896,118.935,-58.56602
-222.1553,136.9037,193.4865
-123.6107,130.2469,128.8081
93.60602,116.461,4.175014
-94.26477,164.2161,231.2018
-153.9765,153.6562,197.8838
-103.0476,111.203,762.1039
180.5251,119.111,18.24597
-82.73161,131.5403,165.1351
158.675,122.371,-99.31403
-80.214,169.1313,202.1049
-126.4139,131.5324,177.9977
98.82503,119.504,-29.93103
277.7288,124.5733,-624.5864
-146.2843,153.1545,184.8578
-106.8059,125.4572,169.1044
-126.4364,112.7071,-356.4777
-118.5238,113.697,132.6628
-70.5499,135.0658,120.4838
-107.292,119.9328,151.9201
-136.6322,117.2246,174.4314
-143.2589,115.3759,186.2678
-97.53825,129.5121,194.7547
-80.40054,171.1915,165.8665
-127.7527,116.0592,177.1722
66.59146,116.432,3.740353
-199.7458,208.4046,109.6667
-252.3647,112.1052,159.7137
191.8336,119.451,-47.98677
35.16498,116.461,-82.98598
324.9838,110.1336,-784.8397
-157.153,115.774,208.5636
-123.0269,134.623,157.0177
-105.7033,165.0056,155.3338
-567.4708,113.4431,168.8947
8.278679,116.4244,-70.26495
143.795,116.521,-91.19403
-155.6486,134.3197,191.3093
-89.52997,131.3815,165.0226
-146.4936,111.9499,184.8677
-465.8719,113.9723,-105.0466
-214.6705,112.3993,133.5105
103.7467,116.4402,-32.145
-127.1705,157.9514,173.3334
-143.4079,156.672,186.4655
-31.39819,137.4402,187.0876
-724.7092,115.3392,401.3735
-221.9411,135.9793,190.015
-20.51428,118.2249,617.9941
-41.00732,122.6245,-432.433
-129.3893,130.0178,181.463
-142.5703,135.0876,179.3177
-195.4374,111.4541,-11.63531
-347.5782,127.3974,630.4631
63.58471,116.561,-29.18581
-214.7223,209.0968,133.5209
58.01601,119.061,-13.78498
-96.64297,132.1179,198.285
-149.9425,119.2318,211.2144
-153.9261,114.9408,197.915
100.2466,116.4403,-32.145
-72.39069,134.7651,153.1178
94.61093,116.7541,-32.14501
-379.4931,129.009,630.8619
199.2078,128.395,502.1429
386.5449,128.2012,20.36121
-70.60961,160.1519,120.19
-200.6156,142.4956,209.7411
-96.14771,129.4516,192.0644
-157.0378,153.0217,208.5925
50.7359,116.471,-42.22498
103.135,116.471,-84.61414
-155.6829,141.4654,217.2493
-217.474,116.7279,131.9717
-272.0566,128.5544,-80.79633
-104.5427,139.4463,174.1576
-118.7472,161.4615,130.4415
-100.8633,113.0909,-369.7977
-24.53473,125.1644,-653.0857
282.8407,139.6342,-480.4167
-94.29884,130.9855,231.4765
85.95511,116.471,-8.840042
-72.69831,166.0154,152.2432
-82.25581,137.9607,201.6237
-217.0267,213.1099,131.0824
8.186005,119.111,-24.48495
-150.3298,153.5756,213.7316
118.7639,116.461,-56.43427
-67.00699,115.0436,530.6126
-41.38958,120.5792,513.7352
-28.08628,117.926,547.6212
-593.0878,123.0421,260.0129
-554.4768,119.3085,293.1304
-614.1422,119.6771,286.9074
-32.13812,121.4436,513.8855
-70.09799,113.608,538.9191
-44.25714,116.3132,546.7844
-453.0776,173.3436,-559.0479
-451.2353,172.9083,-607.4496
-463.0788,172.8963,-599.6404
-477.3863,171.6276,-483.4333
-453.155,172.9032,-595.546
484.3025,157.1178,21.92663
641.1104,148.91,-530.5112
639.4484,152.09,-537.5491
640.3567,152.09,-536.2295
638.483,152.09,-536.1543
639.1425,152.09,-534.6036
636.6492,148.86,-534.2023
637.6218,148.86,-532.1722
638.2484,148.86,-533.0433
643.3191,148.86,-529.0364
642.9496,148.86,-528.0671
646.7111,148.86,-524.5846
647.9312,152.08,-530.5969
646.654,152.09,-528.8881
645.7244,148.86,-525.4778
646.9913,148.86,-525.2763
648.6217,136.3566,-540.6777
646.8431,136.835,-536.7956
645.5957,129.49,-536.6034
644.9476,129.49,-536.0193
644.9362,129.49,-536.7835
658.4206,140.8,-550.184
649.2982,141.02,-544.4229
643.0773,141.02,-537.3981
645.7502,141.01,-539.8679
705.8738,118.7785,537.3908
633.8356,125.1208,487.7046
-421.6413,176.1532,-606.7971
-464.1437,169.1245,-472.2976
-483.3767,171.0902,-597.1257
-411.2767,175.6348,-593.605
-563.1548,122.9754,263.9934
661.8161,117.97,621.8001
682.991,117.97,626.5372
657.4091,118.04,586.9439
727.823,134.4686,11.78892
-493.9442,118.291,330.8141
658.774,122.168,584.9987
141.38,116.26,-67.58008
141.38,116.26,-44.08005
195.13,116.26,-71.20003
-79.29464,112.79,652.7053
-326.6052,133.7414,85.29639
126.7543,137.8175,417.5049
445.9978,139.6993,-185.4496
341.9753,131.5891,-97.10107
108.6382,139.1304,-349.0839
564.4127,126.7315,-504.5353
-355.8162,135.0895,570.3826
-156.9931,129.8177,500.498
134.6261,139.2929,-332.5439
-257.4265,139.1749,-82.29681
-308.35,136.8436,80.0957
226.8337,147.9722,-525.0489
164.0461,143.3964,-388.0177
303.1104,162.2446,390.0131
143.5177,144.0065,-395.6174
175.9427,142.6424,-366.8882
361.6746,134.5244,-177.2454
225.1602,147.3766,-543.5416
-349.4092,135.4631,92.77539
-128.3131,145.8644,-723.3401
229.2969,143.8019,-563.3088
-767.119,124.3551,143.1199
-759.4381,124.3339,133.3134
125.3159,141.1143,391.8584
146.1078,140.1956,421.1083
-139.825,132.8717,522.9225
-378.1593,129.5447,362.5751
581.2217,124.891,-504.0294
-735.1838,123.2352,139.2318
-359.1754,132.9139,562.8563
-164.8212,132.5395,521.9922
133.545,137.1128,439.2137
451.7827,136.5036,-163.5929
203.4659,125.1247,87.5094
107.0066,139.8046,-371.1511
